subscription_id,account_id,start_date,end_date,plan_tier_subscription,seats_subscription,mrr_amount,arr_amount,is_trial_x,upgrade_flag,downgrade_flag,churn_flag_x,billing_frequency,auto_renew_flag,is_active,subscription_duration_days,avg_mrr_per_seat,revenue_ratio,account_name,industry,country,signup_date,referral_source,plan_tier_account,seats_account,is_trial_y,churn_flag_y,signup_year,signup_month,signup_day,signup_weekday,has_churned,usage_count_feat,usage_duration_secs_feat,error_count_feat,is_beta_feature_feat,beta_feature_usage_ratio,resolution_time_hours_ticket,first_response_time_minutes_ticket,satisfaction_score_ticket,total_tickets,num_escalated_tickets,total_churn_events,last_churn_date,total_refunds,any_reactivation,any_preceding_upgrade,any_preceding_downgrade,top_reason
S-428e9a,A-8ae3fc,2024-10-12,0,Enterprise,88,0,0,True,False,False,False,monthly,True,1,361,0.0,0.0,Company_495,DevTools,CA,2024-06-28,ads,Pro,9,False,False,2024,6,28,4,True,37.0,15929.0,4.0,1.0,0.02702702702702703,39.5,65.5,3.5,4.0,0.0,1,2024-08-10,0.0,False,False,False,budget
S-486088,A-0cc442,2024-09-18,0,Pro,45,2205,26460,False,False,False,False,monthly,True,1,385,49.0,12.0,Company_198,EdTech,US,2024-07-18,organic,Basic,45,False,False,2024,7,18,3,True,75.0,26351.0,2.0,1.0,0.013333333333333334,37.0,47.333333333333336,3.0,3.0,0.0,4,2024-10-23,59.52,True,True,False,budget
S-13939b,A-86902e,2023-07-21,2024-08-03 00:00:00,Pro,34,0,0,True,False,False,True,monthly,True,0,379,0.0,0.0,Company_169,HealthTech,IN,2023-05-02,other,Enterprise,34,False,False,2023,5,2,1,True,91.0,27744.0,7.0,0.0,0.0,40.888888888888886,71.44444444444444,3.5,9.0,0.0,1,2024-12-07,0.0,False,False,False,features
S-9333c5,A-ef84cf,2024-06-06,2024-08-13 00:00:00,Basic,8,152,1824,False,False,False,True,annual,False,0,68,19.0,12.0,Company_274,EdTech,US,2024-03-01,partner,Enterprise,8,False,False,2024,3,1,4,True,50.0,18476.0,1.0,1.0,0.02,34.8,79.4,4.333333333333333,5.0,1.0,3,2024-11-20,18.81,True,True,False,pricing
S-37e3ad,A-b30291,2024-04-25,0,Basic,5,95,1140,False,False,False,False,monthly,True,1,531,19.0,12.0,Company_344,HealthTech,US,2024-04-05,event,Basic,5,True,True,2024,4,5,4,True,19.0,5716.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.0,1,2024-09-03,277.54,False,False,True,competitor
S-b17d04,A-e19ff6,2024-03-06,0,Pro,8,392,4704,False,False,False,False,monthly,True,1,581,49.0,12.0,Company_411,Cybersecurity,UK,2023-07-28,partner,Enterprise,1,False,False,2023,7,28,4,True,32.0,9121.0,6.0,1.0,0.03125,30.666666666666668,115.0,4.666666666666667,3.0,0.0,3,2024-06-27,0.0,False,False,True,competitor
S-c27134,A-dec005,2024-03-31,0,Pro,21,0,0,True,False,False,False,monthly,True,1,556,0.0,0.0,Company_445,HealthTech,US,2023-10-13,partner,Pro,21,False,False,2023,10,13,4,True,33.0,8840.0,2.0,0.0,0.0,59.0,152.0,3.0,2.0,0.0,1,2024-11-23,0.0,False,False,False,support
S-3bd427,A-2e3bad,2024-12-04,2024-12-27 00:00:00,Basic,61,1159,13908,False,False,False,True,monthly,True,0,23,19.0,12.0,Company_108,FinTech,CA,2023-08-13,other,Pro,61,False,False,2023,8,13,6,True,29.0,8277.0,0.0,0.0,0.0,31.4,107.0,3.5,5.0,0.0,1,2024-03-30,0.0,False,False,False,features
S-82989b,A-f5641b,2024-11-30,0,Basic,31,589,7068,False,False,False,False,monthly,True,1,312,19.0,12.0,Company_382,EdTech,US,2024-03-30,other,Pro,31,False,False,2024,3,30,5,True,35.0,11574.0,1.0,1.0,0.02857142857142857,47.5,98.0,3.0,4.0,1.0,2,2024-06-17,0.0,False,False,False,features
S-082b15,A-aa9511,2024-02-09,0,Enterprise,97,19303,231636,False,False,False,False,annual,True,1,607,199.0,12.0,Company_203,DevTools,US,2023-10-10,other,Pro,23,True,False,2023,10,10,1,True,15.0,4161.0,0.0,1.0,0.06666666666666667,56.5,98.5,4.0,2.0,0.0,1,2023-10-17,0.0,False,False,False,competitor
S-434140,A-075038,2024-02-25,0,Pro,17,833,9996,False,False,False,False,annual,True,1,591,49.0,12.0,Company_397,HealthTech,UK,2023-05-12,ads,Basic,17,False,False,2023,5,12,4,True,77.0,23055.0,5.0,0.0,0.0,43.5,54.0,3.0,2.0,0.0,1,2024-09-05,6.38,False,False,False,features
S-c07ede,A-cea1f0,2024-10-07,0,Pro,8,392,4704,False,False,False,False,annual,False,1,366,49.0,12.0,Company_273,FinTech,US,2024-04-07,event,Pro,8,False,True,2024,4,7,6,False,24.0,3954.0,1.0,0.0,0.0,42.2,107.4,4.333333333333333,5.0,0.0,0,,0.0,False,False,False,no_churn
S-287914,A-a1b80b,2024-08-15,0,Pro,16,784,9408,False,False,False,False,annual,True,1,419,49.0,12.0,Company_184,HealthTech,US,2023-11-27,organic,Basic,16,False,False,2023,11,27,0,True,67.0,15295.0,6.0,1.0,0.014925373134328358,41.0,72.5,4.0,4.0,0.0,1,2024-07-11,12.99,True,False,False,budget
S-b3bd43,A-b2225d,2024-11-03,0,Pro,50,2450,29400,False,False,False,False,monthly,False,1,339,49.0,12.0,Company_50,FinTech,US,2024-03-08,ads,Basic,47,False,True,2024,3,8,4,True,84.0,28144.0,8.0,2.0,0.023809523809523808,42.0,38.0,3.0,2.0,0.0,3,2024-06-27,0.0,True,True,False,budget
S-4c82da,A-b9eed8,2024-08-01,0,Pro,11,539,6468,False,False,False,False,monthly,False,1,433,49.0,12.0,Company_189,Cybersecurity,US,2024-02-23,organic,Basic,11,False,False,2024,2,23,4,True,59.0,14403.0,6.0,1.0,0.01694915254237288,29.2,103.8,3.75,5.0,1.0,1,2024-04-23,0.0,True,True,False,pricing
S-c75159,A-bcf87c,2024-08-22,2024-09-28 00:00:00,Enterprise,31,6169,74028,False,False,False,True,monthly,True,0,37,199.0,12.0,Company_288,FinTech,US,2024-06-27,event,Pro,10,False,True,2024,6,27,3,False,73.0,20907.0,5.0,2.0,0.0273972602739726,63.0,49.5,4.0,2.0,0.0,0,,0.0,False,False,False,no_churn
S-b5643b,A-9f9299,2024-06-11,0,Enterprise,28,5572,66864,False,False,False,False,annual,False,1,484,199.0,12.0,Company_133,FinTech,US,2023-09-02,organic,Enterprise,28,True,False,2023,9,2,5,True,58.0,20209.0,6.0,1.0,0.017241379310344827,36.2,116.2,5.0,5.0,0.0,2,2024-10-08,0.0,False,False,False,competitor
S-49a9aa,A-10b8f2,2023-06-16,0,Basic,51,969,11628,False,False,False,False,annual,True,1,845,19.0,12.0,Company_151,HealthTech,DE,2023-01-11,organic,Basic,47,True,False,2023,1,11,2,True,21.0,1995.0,2.0,1.0,0.047619047619047616,46.333333333333336,67.0,4.333333333333333,3.0,0.0,1,2024-06-04,0.0,False,True,False,support
S-2877e6,A-95b24a,2024-06-28,0,Enterprise,38,0,0,True,True,True,False,monthly,True,1,467,0.0,0.0,Company_117,FinTech,US,2023-06-06,event,Pro,38,False,True,2023,6,6,1,False,59.0,17410.0,1.0,3.0,0.05084745762711865,21.2,90.4,4.25,5.0,0.0,0,,0.0,False,False,False,no_churn
S-8c10c1,A-0651a4,2024-12-25,0,Enterprise,65,12935,155220,False,False,False,False,annual,True,1,287,199.0,12.0,Company_255,HealthTech,FR,2024-10-16,organic,Pro,16,False,False,2024,10,16,2,True,49.0,13689.0,5.0,0.0,0.0,29.25,48.5,4.0,4.0,0.0,2,2024-12-25,0.0,False,False,True,features
S-d7d398,A-fb186e,2024-12-28,0,Enterprise,29,0,0,True,False,False,False,annual,True,1,284,0.0,0.0,Company_131,EdTech,IN,2024-10-27,organic,Basic,29,False,False,2024,10,27,6,False,124.0,37040.0,3.0,1.0,0.008064516129032258,26.166666666666668,81.0,3.6666666666666665,6.0,0.0,0,,0.0,False,False,False,no_churn
S-ddad91,A-40906c,2024-06-21,0,Enterprise,92,0,0,True,False,False,False,annual,False,1,474,0.0,0.0,Company_235,EdTech,US,2024-03-27,ads,Basic,92,False,False,2024,3,27,2,False,89.0,26898.0,0.0,2.0,0.02247191011235955,29.2,95.0,3.75,5.0,0.0,0,,0.0,False,False,False,no_churn
S-6762fa,A-40a557,2024-02-12,0,Enterprise,16,3184,38208,False,False,False,False,annual,True,1,604,199.0,12.0,Company_86,Cybersecurity,AU,2023-12-03,partner,Pro,16,True,False,2023,12,3,6,True,61.0,18545.0,2.0,0.0,0.0,30.571428571428573,94.71428571428571,3.6666666666666665,7.0,0.0,1,2023-12-08,0.0,False,False,False,budget
S-bb1cf1,A-3a5ad8,2024-09-07,0,Enterprise,9,0,0,True,True,False,False,monthly,False,1,396,0.0,0.0,Company_94,HealthTech,US,2023-12-05,organic,Enterprise,9,True,False,2023,12,5,1,False,40.0,8803.0,3.0,0.0,0.0,44.75,53.5,4.5,4.0,0.0,0,,0.0,False,False,False,no_churn
S-a805a5,A-2789e3,2024-09-18,0,Basic,33,627,7524,False,False,False,False,monthly,True,1,385,19.0,12.0,Company_268,FinTech,US,2024-09-14,partner,Enterprise,11,False,False,2024,9,14,5,False,53.0,15039.0,4.0,0.0,0.0,47.25,83.25,4.0,4.0,0.0,0,,0.0,False,False,False,no_churn
S-da0a69,A-49b828,2023-05-11,0,Pro,6,294,3528,False,False,False,False,monthly,True,1,881,49.0,12.0,Company_391,FinTech,IN,2023-05-05,ads,Pro,6,False,False,2023,5,5,4,False,93.0,21277.0,6.0,2.0,0.021505376344086023,13.666666666666666,87.66666666666667,3.5,3.0,1.0,0,,0.0,False,False,False,no_churn
S-59c5d7,A-c16b88,2024-10-19,0,Basic,35,665,7980,False,True,False,False,monthly,True,1,354,19.0,12.0,Company_431,HealthTech,US,2023-12-02,event,Enterprise,23,False,False,2023,12,2,5,True,70.0,17401.0,2.0,1.0,0.014285714285714285,48.333333333333336,137.66666666666666,3.0,3.0,0.0,1,2024-06-01,0.0,False,True,False,competitor
S-d3faae,A-5c9849,2024-11-12,0,Basic,19,361,4332,False,False,False,False,monthly,True,1,330,19.0,12.0,Company_362,EdTech,IN,2024-11-03,partner,Basic,19,False,False,2024,11,3,6,True,0.0,0.0,0.0,0.0,0.0,59.5,41.0,0.0,4.0,1.0,1,2024-11-13,0.0,False,False,True,unknown
S-73a4e4,A-993085,2024-09-09,0,Pro,31,1519,18228,False,False,False,False,monthly,True,1,394,49.0,12.0,Company_258,HealthTech,US,2023-06-01,ads,Basic,31,True,False,2023,6,1,3,True,58.0,25109.0,4.0,1.0,0.017241379310344827,46.5,82.0,3.5,4.0,0.0,2,2024-01-21,0.0,False,False,False,features
S-35c8a3,A-e4144b,2024-12-22,0,Enterprise,41,8159,97908,False,False,False,False,annual,True,1,290,199.0,12.0,Company_316,EdTech,UK,2024-10-22,other,Pro,41,False,False,2024,10,22,1,False,33.0,7866.0,1.0,0.0,0.0,57.0,172.33333333333334,4.0,3.0,0.0,0,,0.0,False,False,False,no_churn
S-99fbf7,A-7dacce,2024-09-10,0,Enterprise,12,2388,28656,False,False,False,False,annual,True,1,393,199.0,12.0,Company_8,Cybersecurity,CA,2024-09-10,event,Enterprise,12,False,True,2024,9,10,1,True,65.0,18861.0,2.0,1.0,0.015384615384615385,32.5,75.25,3.6666666666666665,4.0,0.0,3,2024-12-27,0.0,False,True,False,budget
S-e97b9f,A-a0ca4e,2024-03-16,0,Enterprise,12,2388,28656,False,False,False,False,annual,True,1,571,199.0,12.0,Company_6,Cybersecurity,US,2024-03-08,ads,Pro,11,False,False,2024,3,8,4,False,30.0,11788.0,4.0,0.0,0.0,39.166666666666664,89.83333333333333,3.8,6.0,3.0,0,,0.0,False,False,False,no_churn
S-763d33,A-ef84cf,2024-07-25,0,Basic,23,437,5244,False,False,True,False,annual,False,1,440,19.0,12.0,Company_274,EdTech,US,2024-03-01,partner,Enterprise,8,False,False,2024,3,1,4,True,68.0,30204.0,3.0,2.0,0.029411764705882353,34.8,79.4,4.333333333333333,5.0,1.0,3,2024-11-20,18.81,True,True,False,pricing
S-323782,A-7920cc,2024-02-22,0,Basic,39,741,8892,False,False,False,False,monthly,True,1,594,19.0,12.0,Company_412,Cybersecurity,FR,2023-11-23,ads,Pro,39,False,False,2023,11,23,3,False,29.0,9042.0,0.0,0.0,0.0,32.857142857142854,113.42857142857143,4.333333333333333,7.0,0.0,0,,0.0,False,False,False,no_churn
S-1cff18,A-2789e3,2024-10-03,0,Basic,11,209,2508,False,False,False,False,monthly,True,1,370,19.0,12.0,Company_268,FinTech,US,2024-09-14,partner,Enterprise,11,False,False,2024,9,14,5,False,46.0,12807.0,9.0,0.0,0.0,47.25,83.25,4.0,4.0,0.0,0,,0.0,False,False,False,no_churn
S-ad39ef,A-e40f45,2024-08-25,0,Pro,21,0,0,True,True,False,False,annual,True,1,409,0.0,0.0,Company_317,HealthTech,US,2024-04-18,organic,Pro,21,False,False,2024,4,18,3,True,39.0,13353.0,3.0,0.0,0.0,26.714285714285715,96.28571428571429,4.333333333333333,7.0,0.0,1,2024-11-09,101.23,False,False,False,budget
S-bf806d,A-7c5768,2024-09-21,0,Basic,62,1178,14136,False,False,False,False,annual,True,1,382,19.0,12.0,Company_407,HealthTech,UK,2024-03-02,event,Enterprise,3,False,False,2024,3,2,5,False,38.0,14918.0,4.0,0.0,0.0,28.8,96.4,4.0,5.0,0.0,0,,0.0,False,False,False,no_churn
S-36f6ec,A-ccb686,2024-08-16,0,Pro,21,1029,12348,False,True,False,False,monthly,True,1,418,49.0,12.0,Company_491,DevTools,US,2024-01-22,other,Basic,10,False,False,2024,1,22,0,True,34.0,11945.0,0.0,1.0,0.029411764705882353,67.0,30.0,4.0,1.0,0.0,3,2024-11-24,25.92,False,True,False,budget
S-aff55c,A-bb2f49,2024-01-14,2024-12-29 00:00:00,Pro,8,0,0,True,False,False,True,monthly,True,0,350,0.0,0.0,Company_356,Cybersecurity,US,2023-05-28,other,Pro,8,False,False,2023,5,28,6,False,64.0,18823.0,2.0,0.0,0.0,22.333333333333332,102.33333333333333,4.0,3.0,0.0,0,,0.0,False,False,False,no_churn
S-b9fc6c,A-2ebb4b,2023-06-16,0,Basic,41,779,9348,False,False,False,False,annual,True,1,845,19.0,12.0,Company_334,HealthTech,US,2023-05-15,ads,Basic,41,False,False,2023,5,15,0,True,44.0,11312.0,6.0,2.0,0.045454545454545456,43.5,136.5,3.0,2.0,0.0,3,2024-12-29,0.0,True,True,False,pricing
S-7f8cd8,A-53f4e3,2024-09-18,2024-11-17 00:00:00,Enterprise,20,3980,47760,False,False,False,True,monthly,True,0,60,199.0,12.0,Company_194,Cybersecurity,UK,2024-06-14,event,Enterprise,13,False,False,2024,6,14,4,True,75.0,24874.0,7.0,0.0,0.0,28.6,99.0,4.0,5.0,0.0,1,2024-12-06,0.0,True,False,True,competitor
S-e912e6,A-a8d89d,2023-12-12,0,Enterprise,78,15522,186264,False,False,False,False,monthly,True,1,666,199.0,12.0,Company_326,EdTech,US,2023-12-08,ads,Pro,13,False,False,2023,12,8,4,True,47.0,12795.0,1.0,1.0,0.02127659574468085,44.5,139.0,5.0,2.0,0.0,2,2024-08-26,0.0,False,False,False,features
S-fef85a,A-7f8241,2024-08-06,0,Pro,34,1666,19992,False,False,False,False,annual,True,1,428,49.0,12.0,Company_42,EdTech,US,2023-03-14,organic,Pro,34,False,True,2023,3,14,1,False,69.0,9246.0,3.0,1.0,0.014492753623188406,36.0,135.0,3.0,1.0,0.0,0,,0.0,False,False,False,no_churn
S-36d5c9,A-54ecc2,2023-09-16,0,Enterprise,11,2189,26268,False,False,False,False,monthly,True,1,753,199.0,12.0,Company_289,Cybersecurity,US,2023-06-11,partner,Enterprise,4,False,False,2023,6,11,6,True,86.0,24459.0,5.0,1.0,0.011627906976744186,37.4,72.0,5.0,5.0,0.0,3,2024-11-23,0.0,False,True,False,pricing
S-b9ff15,A-95b24a,2024-01-08,0,Enterprise,43,8557,102684,False,False,False,False,annual,False,1,639,199.0,12.0,Company_117,FinTech,US,2023-06-06,event,Pro,38,False,True,2023,6,6,1,False,53.0,18601.0,0.0,1.0,0.018867924528301886,21.2,90.4,4.25,5.0,0.0,0,,0.0,False,False,False,no_churn
S-10bd09,A-bbc346,2024-09-03,0,Basic,50,950,11400,False,False,False,False,annual,True,1,400,19.0,12.0,Company_138,FinTech,US,2024-08-29,partner,Enterprise,19,False,False,2024,8,29,3,True,42.0,9279.0,0.0,0.0,0.0,45.333333333333336,102.66666666666667,4.5,3.0,0.0,2,2024-11-03,15.46,False,True,False,competitor
S-12bfc8,A-31ab9a,2024-12-06,0,Enterprise,29,5771,69252,False,False,False,False,monthly,False,1,306,199.0,12.0,Company_460,FinTech,DE,2024-03-03,organic,Pro,3,False,False,2024,3,3,6,True,60.0,30674.0,0.0,1.0,0.016666666666666666,43.142857142857146,67.71428571428571,3.5,7.0,0.0,2,2024-09-23,0.0,True,False,False,budget
S-f5c472,A-faa28c,2024-07-09,0,Basic,48,912,10944,False,False,False,False,monthly,True,1,456,19.0,12.0,Company_91,HealthTech,US,2024-01-30,organic,Enterprise,48,False,False,2024,1,30,1,True,28.0,2864.0,0.0,1.0,0.03571428571428571,52.25,115.5,4.666666666666667,4.0,1.0,2,2024-08-20,0.0,False,False,False,features
S-dbc1ca,A-8adedc,2024-04-24,0,Enterprise,14,2786,33432,False,False,False,False,annual,True,1,532,199.0,12.0,Company_300,EdTech,US,2024-02-11,event,Basic,4,True,True,2024,2,11,6,False,34.0,9293.0,5.0,1.0,0.029411764705882353,49.25,56.75,4.0,4.0,0.0,0,,0.0,False,False,False,no_churn
S-dc6dfd,A-e08cd3,2024-09-30,0,Pro,67,3283,39396,False,False,False,False,monthly,True,1,373,49.0,12.0,Company_475,FinTech,US,2024-09-21,ads,Pro,67,True,False,2024,9,21,5,True,33.0,10489.0,3.0,2.0,0.06060606060606061,30.375,93.0,4.0,8.0,0.0,2,2024-12-17,0.0,False,False,False,competitor
S-b2d472,A-bcf87c,2024-08-27,2024-12-11 00:00:00,Enterprise,10,1990,23880,False,False,False,True,annual,False,0,106,199.0,12.0,Company_288,FinTech,US,2024-06-27,event,Pro,10,False,True,2024,6,27,3,False,57.0,20913.0,2.0,1.0,0.017543859649122806,63.0,49.5,4.0,2.0,0.0,0,,0.0,False,False,False,no_churn
S-9dfce0,A-e6afc1,2024-08-30,0,Pro,2,98,1176,False,False,False,False,annual,True,1,404,49.0,12.0,Company_346,DevTools,US,2023-02-24,ads,Pro,1,False,False,2023,2,24,4,False,58.0,9624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,False,False,False,no_churn
S-9cb6a7,A-7f29a7,2024-12-21,0,Basic,41,779,9348,False,False,False,False,monthly,True,1,291,19.0,12.0,Company_386,Cybersecurity,UK,2024-09-18,event,Basic,41,True,False,2024,9,18,2,True,14.0,4186.0,0.0,0.0,0.0,24.0,5.0,4.0,1.0,0.0,1,2024-10-09,23.97,False,True,False,unknown
S-dabcd2,A-3ce5b8,2024-09-22,0,Pro,28,0,0,True,False,False,False,monthly,True,1,381,0.0,0.0,Company_256,FinTech,IN,2023-09-07,ads,Basic,8,False,True,2023,9,7,3,True,85.0,29973.0,4.0,2.0,0.023529411764705882,42.5,101.8,3.7142857142857144,10.0,0.0,1,2024-09-18,261.49,False,False,False,features
S-8c3cc8,A-b2225d,2024-10-17,0,Basic,47,0,0,True,False,False,False,monthly,True,1,356,0.0,0.0,Company_50,FinTech,US,2024-03-08,ads,Basic,47,False,True,2024,3,8,4,True,35.0,9130.0,3.0,0.0,0.0,42.0,38.0,3.0,2.0,0.0,3,2024-06-27,0.0,True,True,False,budget
S-2923fc,A-fa3095,2024-07-08,0,Enterprise,70,13930,167160,False,False,False,False,annual,True,1,457,199.0,12.0,Company_174,FinTech,US,2023-09-03,ads,Basic,70,False,False,2023,9,3,6,True,87.0,27528.0,5.0,1.0,0.011494252873563218,49.2,84.0,5.0,5.0,0.0,1,2023-12-23,0.0,False,False,False,support
S-f0a2e5,A-55f257,2024-06-05,0,Basic,23,0,0,True,False,False,False,annual,True,1,490,0.0,0.0,Company_496,FinTech,US,2023-12-21,organic,Basic,9,False,False,2023,12,21,3,False,49.0,16855.0,2.0,1.0,0.02040816326530612,43.166666666666664,114.5,5.0,6.0,0.0,0,,0.0,False,False,False,no_churn
S-025bea,A-9affe6,2024-06-25,0,Pro,17,833,9996,False,True,False,False,monthly,True,1,470,49.0,12.0,Company_401,Cybersecurity,US,2023-03-22,other,Pro,7,False,False,2023,3,22,2,True,55.0,19774.0,0.0,0.0,0.0,58.0,76.0,3.0,3.0,0.0,1,2024-01-12,83.06,False,False,False,features
S-0e499f,A-296d7c,2024-08-17,0,Pro,16,784,9408,False,False,False,False,annual,False,1,417,49.0,12.0,Company_182,DevTools,DE,2023-11-08,other,Enterprise,2,False,False,2023,11,8,2,True,20.0,8835.0,0.0,0.0,0.0,50.4,105.2,3.75,5.0,0.0,1,2024-11-04,0.0,False,False,False,budget
S-0267b7,A-65a46c,2024-10-17,2024-12-04 00:00:00,Enterprise,13,0,0,True,False,False,True,monthly,True,0,48,0.0,0.0,Company_95,HealthTech,US,2023-11-04,event,Pro,1,False,False,2023,11,4,5,False,49.0,15046.0,2.0,0.0,0.0,45.125,91.125,4.0,8.0,0.0,0,,0.0,False,False,False,no_churn
S-b5b9a5,A-812c5b,2024-07-25,0,Basic,55,1045,12540,False,False,False,False,monthly,True,1,440,19.0,12.0,Company_395,DevTools,CA,2024-02-25,organic,Basic,55,False,True,2024,2,25,6,True,49.0,13658.0,3.0,1.0,0.02040816326530612,27.0,88.25,4.0,4.0,0.0,1,2024-05-11,11.83,False,False,False,support
S-8e45ba,A-7f8241,2023-12-13,0,Basic,34,646,7752,False,False,False,False,annual,False,1,665,19.0,12.0,Company_42,EdTech,US,2023-03-14,organic,Pro,34,False,True,2023,3,14,1,False,78.0,23488.0,4.0,0.0,0.0,36.0,135.0,3.0,1.0,0.0,0,,0.0,False,False,False,no_churn
